Statement,Department
Massive potholes on highways are causing frequent accidents.,Road Maintenance & Traffic Management
Broken traffic signals are leading to chaos at major intersections.,Road Maintenance & Traffic Management
Irregular water supply in residential areas for the past month.,Water Supply & Sanitation
Sewage overflow in urban neighborhoods is causing health hazards.,Water Supply & Sanitation
Shortage of doctors and nurses in public hospitals.,Public Healthcare Services
Essential medicines unavailable in government pharmacies.,Public Healthcare Services
Schools lack basic infrastructure like libraries and laboratories.,Education & School Facilities
Delay in disbursement of scholarships for underprivileged students.,Education & School Facilities
Increase in thefts and burglaries due to lack of police patrolling.,Law Enforcement & Crime
Delayed response from police in case of emergency calls.,Law Enforcement & Crime
Frequent delays and cancellations of public buses without notice.,Public Transport & Infrastructure
Poor maintenance of railway stations and lack of hygiene.,Public Transport & Infrastructure
Bribes demanded for processing government documents.,Government Services & Bureaucracy
Lengthy delays in property registration due to bureaucratic inefficiency.,Government Services & Bureaucracy
Illegal dumping of industrial waste in residential areas.,Environmental Pollution & Waste Management
Lack of proper waste collection services leading to garbage accumulation.,Environmental Pollution & Waste Management
Frequent and unannounced power cuts affecting daily life.,Electricity & Power Supply
Overcharging and incorrect billing in electricity bills.,Electricity & Power Supply
Unaffordable housing prices pushing middle-class families out of cities.,Housing & Urban Development
Illegal encroachments reducing public park spaces.,Housing & Urban Development
Sudden price hikes in essential food items without regulation.,Consumer Rights & Price Regulation
False advertising and misleading claims by companies going unchecked.,Consumer Rights & Price Regulation
Lack of employment opportunities despite government job schemes.,Employment & Labor Issues
Unfair wages and unsafe working conditions for laborers.,Employment & Labor Issues
Lack of government support for elderly and disabled citizens.,Social Welfare & Disability Support
Inadequate rehabilitation programs for homeless individuals.,Social Welfare & Disability Support
Misuse of public funds and lack of accountability in government projects.,Corruption & Transparency
Nepotism in government job recruitment processes.,Corruption & Transparency
Slow emergency response times during natural disasters.,Emergency Response & Disaster Management
Lack of proper evacuation plans for flood-prone areas.,Emergency Response & Disaster Management
Complaint 1: Road Maintenance & Traffic Management issue needs urgent resolution in several districts.,Road Maintenance & Traffic Management
Complaint 2: Water Supply & Sanitation issue needs urgent resolution in several districts.,Water Supply & Sanitation
Complaint 3: Public Healthcare Services issue needs urgent resolution in several districts.,Public Healthcare Services
Complaint 4: Education & School Facilities issue needs urgent resolution in several districts.,Education & School Facilities
Complaint 5: Law Enforcement & Crime issue needs urgent resolution in several districts.,Law Enforcement & Crime
Complaint 6: Public Transport & Infrastructure issue needs urgent resolution in several districts.,Public Transport & Infrastructure
Complaint 7: Government Services & Bureaucracy issue needs urgent resolution in several districts.,Government Services & Bureaucracy
Complaint 8: Environmental Pollution & Waste Management issue needs urgent resolution in several districts.,Environmental Pollution & Waste Management
Complaint 9: Electricity & Power Supply issue needs urgent resolution in several districts.,Electricity & Power Supply
Complaint 10: Housing & Urban Development issue needs urgent resolution in several districts.,Housing & Urban Development
Complaint 11: Consumer Rights & Price Regulation issue needs urgent resolution in several districts.,Consumer Rights & Price Regulation
Complaint 12: Employment & Labor Issues issue needs urgent resolution in several districts.,Employment & Labor Issues
Complaint 13: Social Welfare & Disability Support issue needs urgent resolution in several districts.,Social Welfare & Disability Support
Complaint 14: Corruption & Transparency issue needs urgent resolution in several districts.,Corruption & Transparency
Complaint 15: Emergency Response & Disaster Management issue needs urgent resolution in several districts.,Emergency Response & Disaster Management
Complaint 16: Road Maintenance & Traffic Management issue needs urgent resolution in several districts.,Road Maintenance & Traffic Management
Complaint 17: Water Supply & Sanitation issue needs urgent resolution in several districts.,Water Supply & Sanitation
Complaint 18: Public Healthcare Services issue needs urgent resolution in several districts.,Public Healthcare Services
Complaint 19: Education & School Facilities issue needs urgent resolution in several districts.,Education & School Facilities
Complaint 20: Law Enforcement & Crime issue needs urgent resolution in several districts.,Law Enforcement & Crime
Complaint 21: Public Transport & Infrastructure issue needs urgent resolution in several districts.,Public Transport & Infrastructure
Complaint 22: Government Services & Bureaucracy issue needs urgent resolution in several districts.,Government Services & Bureaucracy
Complaint 23: Environmental Pollution & Waste Management issue needs urgent resolution in several districts.,Environmental Pollution & Waste Management
Complaint 24: Electricity & Power Supply issue needs urgent resolution in several districts.,Electricity & Power Supply
Complaint 25: Housing & Urban Development issue needs urgent resolution in several districts.,Housing & Urban Development
Complaint 26: Consumer Rights & Price Regulation issue needs urgent resolution in several districts.,Consumer Rights & Price Regulation
Complaint 27: Employment & Labor Issues issue needs urgent resolution in several districts.,Employment & Labor Issues
Complaint 28: Social Welfare & Disability Support issue needs urgent resolution in several districts.,Social Welfare & Disability Support
Complaint 29: Corruption & Transparency issue needs urgent resolution in several districts.,Corruption & Transparency
Complaint 30: Emergency Response & Disaster Management issue needs urgent resolution in several districts.,Emergency Response & Disaster Management
Complaint 31: Road Maintenance & Traffic Management issue needs urgent resolution in several districts.,Road Maintenance & Traffic Management
Complaint 32: Water Supply & Sanitation issue needs urgent resolution in several districts.,Water Supply & Sanitation
Complaint 33: Public Healthcare Services issue needs urgent resolution in several districts.,Public Healthcare Services
Complaint 34: Education & School Facilities issue needs urgent resolution in several districts.,Education & School Facilities
Complaint 35: Law Enforcement & Crime issue needs urgent resolution in several districts.,Law Enforcement & Crime
Complaint 36: Public Transport & Infrastructure issue needs urgent resolution in several districts.,Public Transport & Infrastructure
Complaint 37: Government Services & Bureaucracy issue needs urgent resolution in several districts.,Government Services & Bureaucracy
Complaint 38: Environmental Pollution & Waste Management issue needs urgent resolution in several districts.,Environmental Pollution & Waste Management
Complaint 39: Electricity & Power Supply issue needs urgent resolution in several districts.,Electricity & Power Supply
Complaint 40: Housing & Urban Development issue needs urgent resolution in several districts.,Housing & Urban Development
Complaint 41: Consumer Rights & Price Regulation issue needs urgent resolution in several districts.,Consumer Rights & Price Regulation
Complaint 42: Employment & Labor Issues issue needs urgent resolution in several districts.,Employment & Labor Issues
Complaint 43: Social Welfare & Disability Support issue needs urgent resolution in several districts.,Social Welfare & Disability Support
Complaint 44: Corruption & Transparency issue needs urgent resolution in several districts.,Corruption & Transparency
Complaint 45: Emergency Response & Disaster Management issue needs urgent resolution in several districts.,Emergency Response & Disaster Management
Complaint 46: Road Maintenance & Traffic Management issue needs urgent resolution in several districts.,Road Maintenance & Traffic Management
Complaint 47: Water Supply & Sanitation issue needs urgent resolution in several districts.,Water Supply & Sanitation
Complaint 48: Public Healthcare Services issue needs urgent resolution in several districts.,Public Healthcare Services
Complaint 49: Education & School Facilities issue needs urgent resolution in several districts.,Education & School Facilities
Complaint 50: Law Enforcement & Crime issue needs urgent resolution in several districts.,Law Enforcement & Crime
Complaint 51: Public Transport & Infrastructure issue needs urgent resolution in several districts.,Public Transport & Infrastructure
Complaint 52: Government Services & Bureaucracy issue needs urgent resolution in several districts.,Government Services & Bureaucracy
Complaint 53: Environmental Pollution & Waste Management issue needs urgent resolution in several districts.,Environmental Pollution & Waste Management
Complaint 54: Electricity & Power Supply issue needs urgent resolution in several districts.,Electricity & Power Supply
Complaint 55: Housing & Urban Development issue needs urgent resolution in several districts.,Housing & Urban Development
Complaint 56: Consumer Rights & Price Regulation issue needs urgent resolution in several districts.,Consumer Rights & Price Regulation
Complaint 57: Employment & Labor Issues issue needs urgent resolution in several districts.,Employment & Labor Issues
Complaint 58: Social Welfare & Disability Support issue needs urgent resolution in several districts.,Social Welfare & Disability Support
Complaint 59: Corruption & Transparency issue needs urgent resolution in several districts.,Corruption & Transparency
Complaint 60: Emergency Response & Disaster Management issue needs urgent resolution in several districts.,Emergency Response & Disaster Management
Complaint 61: Road Maintenance & Traffic Management issue needs urgent resolution in several districts.,Road Maintenance & Traffic Management
Complaint 62: Water Supply & Sanitation issue needs urgent resolution in several districts.,Water Supply & Sanitation
Complaint 63: Public Healthcare Services issue needs urgent resolution in several districts.,Public Healthcare Services
Complaint 64: Education & School Facilities issue needs urgent resolution in several districts.,Education & School Facilities
Complaint 65: Law Enforcement & Crime issue needs urgent resolution in several districts.,Law Enforcement & Crime
Complaint 66: Public Transport & Infrastructure issue needs urgent resolution in several districts.,Public Transport & Infrastructure
Complaint 67: Government Services & Bureaucracy issue needs urgent resolution in several districts.,Government Services & Bureaucracy
Complaint 68: Environmental Pollution & Waste Management issue needs urgent resolution in several districts.,Environmental Pollution & Waste Management
Complaint 69: Electricity & Power Supply issue needs urgent resolution in several districts.,Electricity & Power Supply
Complaint 70: Housing & Urban Development issue needs urgent resolution in several districts.,Housing & Urban Development
Complaint 71: Consumer Rights & Price Regulation issue needs urgent resolution in several districts.,Consumer Rights & Price Regulation
Complaint 72: Employment & Labor Issues issue needs urgent resolution in several districts.,Employment & Labor Issues
Complaint 73: Social Welfare & Disability Support issue needs urgent resolution in several districts.,Social Welfare & Disability Support
Complaint 74: Corruption & Transparency issue needs urgent resolution in several districts.,Corruption & Transparency
Complaint 75: Emergency Response & Disaster Management issue needs urgent resolution in several districts.,Emergency Response & Disaster Management
Complaint 76: Road Maintenance & Traffic Management issue needs urgent resolution in several districts.,Road Maintenance & Traffic Management
Complaint 77: Water Supply & Sanitation issue needs urgent resolution in several districts.,Water Supply & Sanitation
Complaint 78: Public Healthcare Services issue needs urgent resolution in several districts.,Public Healthcare Services
Complaint 79: Education & School Facilities issue needs urgent resolution in several districts.,Education & School Facilities
Complaint 80: Law Enforcement & Crime issue needs urgent resolution in several districts.,Law Enforcement & Crime
Complaint 81: Public Transport & Infrastructure issue needs urgent resolution in several districts.,Public Transport & Infrastructure
Complaint 82: Government Services & Bureaucracy issue needs urgent resolution in several districts.,Government Services & Bureaucracy
Complaint 83: Environmental Pollution & Waste Management issue needs urgent resolution in several districts.,Environmental Pollution & Waste Management
Complaint 84: Electricity & Power Supply issue needs urgent resolution in several districts.,Electricity & Power Supply
Complaint 85: Housing & Urban Development issue needs urgent resolution in several districts.,Housing & Urban Development
Complaint 86: Consumer Rights & Price Regulation issue needs urgent resolution in several districts.,Consumer Rights & Price Regulation
Complaint 87: Employment & Labor Issues issue needs urgent resolution in several districts.,Employment & Labor Issues
Complaint 88: Social Welfare & Disability Support issue needs urgent resolution in several districts.,Social Welfare & Disability Support
Complaint 89: Corruption & Transparency issue needs urgent resolution in several districts.,Corruption & Transparency
Complaint 90: Emergency Response & Disaster Management issue needs urgent resolution in several districts.,Emergency Response & Disaster Management
Complaint 91: Road Maintenance & Traffic Management issue needs urgent resolution in several districts.,Road Maintenance & Traffic Management
Complaint 92: Water Supply & Sanitation issue needs urgent resolution in several districts.,Water Supply & Sanitation
Complaint 93: Public Healthcare Services issue needs urgent resolution in several districts.,Public Healthcare Services
Complaint 94: Education & School Facilities issue needs urgent resolution in several districts.,Education & School Facilities
Complaint 95: Law Enforcement & Crime issue needs urgent resolution in several districts.,Law Enforcement & Crime
Complaint 96: Public Transport & Infrastructure issue needs urgent resolution in several districts.,Public Transport & Infrastructure
Complaint 97: Government Services & Bureaucracy issue needs urgent resolution in several districts.,Government Services & Bureaucracy
Complaint 98: Environmental Pollution & Waste Management issue needs urgent resolution in several districts.,Environmental Pollution & Waste Management
Complaint 99: Electricity & Power Supply issue needs urgent resolution in several districts.,Electricity & Power Supply
Complaint 100: Housing & Urban Development issue needs urgent resolution in several districts.,Housing & Urban Development
Complaint 101: Consumer Rights & Price Regulation issue needs urgent resolution in several districts.,Consumer Rights & Price Regulation
Complaint 102: Employment & Labor Issues issue needs urgent resolution in several districts.,Employment & Labor Issues
Complaint 103: Social Welfare & Disability Support issue needs urgent resolution in several districts.,Social Welfare & Disability Support
Complaint 104: Corruption & Transparency issue needs urgent resolution in several districts.,Corruption & Transparency
Complaint 105: Emergency Response & Disaster Management issue needs urgent resolution in several districts.,Emergency Response & Disaster Management
Complaint 106: Road Maintenance & Traffic Management issue needs urgent resolution in several districts.,Road Maintenance & Traffic Management
Complaint 107: Water Supply & Sanitation issue needs urgent resolution in several districts.,Water Supply & Sanitation
Complaint 108: Public Healthcare Services issue needs urgent resolution in several districts.,Public Healthcare Services
Complaint 109: Education & School Facilities issue needs urgent resolution in several districts.,Education & School Facilities
Complaint 110: Law Enforcement & Crime issue needs urgent resolution in several districts.,Law Enforcement & Crime
Complaint 111: Public Transport & Infrastructure issue needs urgent resolution in several districts.,Public Transport & Infrastructure
Complaint 112: Government Services & Bureaucracy issue needs urgent resolution in several districts.,Government Services & Bureaucracy
Complaint 113: Environmental Pollution & Waste Management issue needs urgent resolution in several districts.,Environmental Pollution & Waste Management
Complaint 114: Electricity & Power Supply issue needs urgent resolution in several districts.,Electricity & Power Supply
Complaint 115: Housing & Urban Development issue needs urgent resolution in several districts.,Housing & Urban Development
Complaint 116: Consumer Rights & Price Regulation issue needs urgent resolution in several districts.,Consumer Rights & Price Regulation
Complaint 117: Employment & Labor Issues issue needs urgent resolution in several districts.,Employment & Labor Issues
Complaint 118: Social Welfare & Disability Support issue needs urgent resolution in several districts.,Social Welfare & Disability Support
Complaint 119: Corruption & Transparency issue needs urgent resolution in several districts.,Corruption & Transparency
Complaint 120: Emergency Response & Disaster Management issue needs urgent resolution in several districts.,Emergency Response & Disaster Management
Complaint 121: Road Maintenance & Traffic Management issue needs urgent resolution in several districts.,Road Maintenance & Traffic Management
Complaint 122: Water Supply & Sanitation issue needs urgent resolution in several districts.,Water Supply & Sanitation
Complaint 123: Public Healthcare Services issue needs urgent resolution in several districts.,Public Healthcare Services
Complaint 124: Education & School Facilities issue needs urgent resolution in several districts.,Education & School Facilities
Complaint 125: Law Enforcement & Crime issue needs urgent resolution in several districts.,Law Enforcement & Crime
Complaint 126: Public Transport & Infrastructure issue needs urgent resolution in several districts.,Public Transport & Infrastructure
Complaint 127: Government Services & Bureaucracy issue needs urgent resolution in several districts.,Government Services & Bureaucracy
Complaint 128: Environmental Pollution & Waste Management issue needs urgent resolution in several districts.,Environmental Pollution & Waste Management
Complaint 129: Electricity & Power Supply issue needs urgent resolution in several districts.,Electricity & Power Supply
Complaint 130: Housing & Urban Development issue needs urgent resolution in several districts.,Housing & Urban Development
Complaint 131: Consumer Rights & Price Regulation issue needs urgent resolution in several districts.,Consumer Rights & Price Regulation
Complaint 132: Employment & Labor Issues issue needs urgent resolution in several districts.,Employment & Labor Issues
Complaint 133: Social Welfare & Disability Support issue needs urgent resolution in several districts.,Social Welfare & Disability Support
Complaint 134: Corruption & Transparency issue needs urgent resolution in several districts.,Corruption & Transparency
Complaint 135: Emergency Response & Disaster Management issue needs urgent resolution in several districts.,Emergency Response & Disaster Management
Complaint 136: Road Maintenance & Traffic Management issue needs urgent resolution in several districts.,Road Maintenance & Traffic Management
Complaint 137: Water Supply & Sanitation issue needs urgent resolution in several districts.,Water Supply & Sanitation
Complaint 138: Public Healthcare Services issue needs urgent resolution in several districts.,Public Healthcare Services
Complaint 139: Education & School Facilities issue needs urgent resolution in several districts.,Education & School Facilities
Complaint 140: Law Enforcement & Crime issue needs urgent resolution in several districts.,Law Enforcement & Crime
Complaint 141: Public Transport & Infrastructure issue needs urgent resolution in several districts.,Public Transport & Infrastructure
Complaint 142: Government Services & Bureaucracy issue needs urgent resolution in several districts.,Government Services & Bureaucracy
Complaint 143: Environmental Pollution & Waste Management issue needs urgent resolution in several districts.,Environmental Pollution & Waste Management
Complaint 144: Electricity & Power Supply issue needs urgent resolution in several districts.,Electricity & Power Supply
Complaint 145: Housing & Urban Development issue needs urgent resolution in several districts.,Housing & Urban Development
Complaint 146: Consumer Rights & Price Regulation issue needs urgent resolution in several districts.,Consumer Rights & Price Regulation
Complaint 147: Employment & Labor Issues issue needs urgent resolution in several districts.,Employment & Labor Issues
Complaint 148: Social Welfare & Disability Support issue needs urgent resolution in several districts.,Social Welfare & Disability Support
Complaint 149: Corruption & Transparency issue needs urgent resolution in several districts.,Corruption & Transparency
Complaint 150: Emergency Response & Disaster Management issue needs urgent resolution in several districts.,Emergency Response & Disaster Management
Complaint 151: Road Maintenance & Traffic Management issue needs urgent resolution in several districts.,Road Maintenance & Traffic Management
Complaint 152: Water Supply & Sanitation issue needs urgent resolution in several districts.,Water Supply & Sanitation
Complaint 153: Public Healthcare Services issue needs urgent resolution in several districts.,Public Healthcare Services
Complaint 154: Education & School Facilities issue needs urgent resolution in several districts.,Education & School Facilities
Complaint 155: Law Enforcement & Crime issue needs urgent resolution in several districts.,Law Enforcement & Crime
Complaint 156: Public Transport & Infrastructure issue needs urgent resolution in several districts.,Public Transport & Infrastructure
Complaint 157: Government Services & Bureaucracy issue needs urgent resolution in several districts.,Government Services & Bureaucracy
Complaint 158: Environmental Pollution & Waste Management issue needs urgent resolution in several districts.,Environmental Pollution & Waste Management
Complaint 159: Electricity & Power Supply issue needs urgent resolution in several districts.,Electricity & Power Supply
Complaint 160: Housing & Urban Development issue needs urgent resolution in several districts.,Housing & Urban Development
Complaint 161: Consumer Rights & Price Regulation issue needs urgent resolution in several districts.,Consumer Rights & Price Regulation
Complaint 162: Employment & Labor Issues issue needs urgent resolution in several districts.,Employment & Labor Issues
Complaint 163: Social Welfare & Disability Support issue needs urgent resolution in several districts.,Social Welfare & Disability Support
Complaint 164: Corruption & Transparency issue needs urgent resolution in several districts.,Corruption & Transparency
Complaint 165: Emergency Response & Disaster Management issue needs urgent resolution in several districts.,Emergency Response & Disaster Management
Complaint 166: Road Maintenance & Traffic Management issue needs urgent resolution in several districts.,Road Maintenance & Traffic Management
Complaint 167: Water Supply & Sanitation issue needs urgent resolution in several districts.,Water Supply & Sanitation
Complaint 168: Public Healthcare Services issue needs urgent resolution in several districts.,Public Healthcare Services
Complaint 169: Education & School Facilities issue needs urgent resolution in several districts.,Education & School Facilities
Complaint 170: Law Enforcement & Crime issue needs urgent resolution in several districts.,Law Enforcement & Crime
